Iteration,Elapsed_eBPF_NP
1,57943
2,42320
3,34184
4,52662
5,50532
6,20766
7,26709
8,27525
9,32194
10,28986
11,26037
12,30186
13,28792
14,25931
15,29398
16,30929
17,22944
18,17939
19,17830
20,18124
21,21535
22,18698
23,17896
24,17725
25,17895
26,17766
27,17951
28,17700
29,17774
30,17761
31,17780
32,17840
33,17756
34,26274
35,34778
36,25477
37,31315
38,29429
39,26895
40,28481
41,31838
42,27200
43,26529
44,30823
45,28743
46,33208
47,32631
48,28182
49,30283
50,27386
51,26388
52,28674
53,29162
54,27576
55,26837
56,29933
57,28163
58,25674
59,27835
60,31099
61,27538
62,26079
63,29029
64,29676
65,28605
66,26834
67,28949
68,28168
69,23947
70,29828
71,28128
72,28601
73,32599
74,29771
75,30428
76,27374
77,26535
78,29819
79,29526
80,27529
81,45479
82,31414
83,28340
84,25661
85,28445
86,30439
87,26492
88,26366
89,29092
90,28666
91,26919
92,27098
93,30527
94,28198
95,26939
96,27957
97,31315
98,30679
99,26742
100,27776
101,30723
102,26929
103,25713
104,28915
105,29215
106,27799
107,26274
108,29796
109,33892
110,28326
111,25944
112,28561
113,30084
114,28083
115,25505
116,29031
117,28768
118,26928
119,27838
120,29929
121,27870
122,25833
123,27465
124,30063
125,31038
126,26217
127,28179
128,30663
129,27789
130,26152
131,28383
132,29548
133,27217
134,26778
135,28962
136,28892
137,27546
138,26302
139,30082
140,27999
141,25998
142,29114
143,30797
144,28499
145,27015
146,27984
147,30524
148,27351
149,26459
150,28575
151,29553
152,27313
153,26534
154,29877
155,28253
156,27495
157,27840
158,30053
159,28539
160,28255
161,27601
162,33681
163,30325
164,29288
165,26318
166,28995
167,29204
168,27867
169,26680
170,29287
171,28343
172,26921
173,27713
174,29944
175,28398
176,26062
177,27708
178,30140
179,27059
180,25721
181,29391
182,28216
183,27276
184,27602
185,30280
186,28326
187,25855
188,28486
189,30134
190,27331
191,25376
192,29570
193,29338
194,27726
195,26191
196,30027
197,28310
198,27121
199,28276
200,30530
201,28710
202,27430
203,27249
204,30346
205,28530
206,27795
207,27342
208,30321
209,27799
210,25803
211,27973
212,29883
213,312118
214,29099
215,29718
216,30067
217,27480
218,27340
219,30473
220,27887
221,25851
222,28729
223,28598
224,27144
225,31469
226,29824
227,28935
228,26346
229,27924
230,29532
231,27104
232,26426
233,30301
234,28030
235,25295
236,28890
237,29003
238,26970
239,37900
240,39612
241,25892
242,26006
243,30234
244,27889
245,25557
246,28726
247,29546
248,27352
249,26548
250,30536
251,27481
252,25342
253,29635
254,29187
255,26995
256,27473
257,30397
258,25806
259,26373
260,29907
261,24116
262,27499
263,30738
264,28307
265,25264
266,29021
267,19413
268,17302
269,17620
270,17126
271,16985
272,17076
273,29536
274,26285
275,26500
276,30221
277,19638
278,17169
279,17748
280,17069
281,17172
282,16960
283,17033
284,17579
285,17654
286,15759
287,16252
288,15467
289,18948
290,16080
291,15637
292,27779
293,22052
294,29355
295,24674
296,25483
297,28745
298,24496
299,25611
300,29712
301,28662
302,24951
303,27232
304,28006
305,25083
306,26700
307,29935
308,25851
309,24949
310,28202
311,27330
312,24273
313,26707
314,29306
315,25681
316,26166
317,28929
318,25590
319,24972
320,28522
321,27933
322,25625
323,27086
324,28394
325,24523
326,26367
327,29955
328,25899
329,25460
330,28372
331,27734
332,25481
333,27099
334,29740
335,24771
336,25329
337,28545
338,25267
339,25617
340,28087
341,28290
342,25931
343,27059
344,28499
345,24743
346,25601
347,44934
348,39716
349,24708
350,27974
351,27592
352,24499
353,31451
354,29723
355,28788
356,25638
357,26152
358,29823
359,25188
360,25404
361,29462
362,28442
363,23898
