Iteration,Elapsed_eBPF_NP
1,59098
2,27662
3,36155
4,26298
5,15399
6,15140
7,14870
8,17022
9,26020
10,22997
11,23115
12,23456
13,24867
14,23007
15,33109
16,24257
17,25074
18,42835
19,23494
20,36544
21,38781
22,33507
23,43011
24,45216
25,24445
26,41874
27,33392
28,25073
29,23472
30,23402
31,23974
32,24759
33,23469
34,26776
35,25290
36,24170
37,23467
38,23092
39,25457
40,24067
41,23883
42,23560
43,25320
44,24031
45,23522
46,23609
47,25532
48,23525
49,24525
50,24410
51,24766
52,23990
53,23569
54,24970
55,24255
56,23642
57,23408
58,25301
59,23968
60,23446
61,23695
62,24923
63,24100
64,23195
65,23495
66,25612
67,23359
68,23693
69,23613
70,25377
71,23718
72,23876
73,28536
74,25420
75,24025
76,23192
77,25757
78,24061
79,23389
80,23200
81,25264
82,23711
83,23081
84,23369
85,25251
86,23530
87,23726
88,23715
89,25101
90,23286
91,23485
92,23683
93,25213
94,23845
95,23376
96,24800
97,24368
98,27454
99,23679
100,25242
101,23962
102,23759
103,24328
104,25362
105,23640
106,23291
107,23905
108,24793
109,60294
110,25295
111,25516
112,23935
113,23322
114,23134
115,25209
116,31748
117,22903
118,22455
119,24769
120,22776
121,22691
122,23279
123,24262
124,22831
125,26263
126,24472
127,23608
128,22890
129,22706
130,24534
131,23656
132,22523
133,22982
134,24617
135,23473
136,23203
137,22764
138,24873
139,22679
140,23538
141,23528
142,24582
143,23684
144,23343
145,24353
146,24077
147,23018
148,22644
149,24407
150,23314
151,22749
152,22706
153,24191
154,23311
155,22621
156,22916
157,24607
158,23058
159,22775
160,23515
161,24667
162,27249
163,23265
164,23864
165,24282
166,22929
167,22726
168,24486
169,23283
170,22729
171,22389
172,24506
173,23274
174,22799
175,22775
176,24443
177,23137
178,22544
179,22736
180,24766
181,23024
182,22557
183,23048
184,24455
185,22877
186,22579
187,23164
188,23893
189,22798
190,22426
191,23534
192,23847
193,22604
194,23103
195,24161
196,23633
197,22636
198,22807
199,24352
200,23026
201,22994
202,22383
203,24268
204,23130
205,22798
206,23615
207,24586
208,23407
209,22918
210,33733
211,25144
212,34067
213,43568
214,44460
215,25174
216,33535
217,42071
218,24711
219,45241
220,23651
221,23130
222,35207
223,32121
224,22733
225,26258
226,24642
227,23884
228,22975
229,23335
230,24395
231,22818
232,22586
233,33159
234,24348
235,23785
236,23012
237,24906
238,24394
239,23561
240,23308
241,24968
242,24551
243,23530
244,43880
245,45280
246,45313
247,33318
248,23084
249,25220
250,23440
251,23333
252,23710
253,24897
254,23613
255,23054
256,40464
257,35079
258,23831
259,23403
260,35583
261,34064
262,32070
263,23015
264,24773
265,23536
266,23569
267,23184
268,24463
269,22954
270,22713
271,23645
272,24304
273,22883
274,32965
275,33771
276,23614
277,22923
278,22685
279,24161
280,23527
281,22906
282,22496
283,24431
284,23417
285,22788
286,22786
287,24594
288,22896
289,26572
290,23792
291,24219
292,22708
293,22688
294,23485
295,23832
296,22899
297,22504
298,24246
299,23873
300,23152
301,23051
302,24493
303,23502
304,22618
305,22922
306,24564
307,23158
308,23295
309,22926
310,24657
311,22670
312,22791
313,23263
314,24454
315,22695
316,22714
317,23632
318,23395
319,22748
320,22651
321,23842
322,23827
323,22944
324,22867
325,24971
326,23980
327,22870
328,22962
329,24513
330,23302
331,23035
332,22945
333,25131
334,23560
335,22939
336,23093
337,24487
338,23046
339,22709
340,23596
341,23735
342,22838
343,22688
344,23943
345,24133
346,22782
347,23225
348,24526
349,23270
350,22855
351,22497
352,24928
353,26672
354,23192
355,23140
356,24644
357,22745
358,22853
359,24097
360,24442
361,23209
362,22713
363,24313
364,23684
365,22954
366,22811
367,24292
368,23665
369,22662
370,22931
371,24594
372,23078
373,22922
374,22833
375,24764
376,22685
377,22823
378,22984
379,24315
380,23077
381,22318
382,23816
383,23831
384,22871
385,22609
386,24180
387,23770
388,22463
389,23373
390,34671
391,34723
392,33659
393,33427
394,44662
395,42835
396,33270
397,33742
398,25248
399,23138
400,23425
401,24189
402,34618
403,24166
404,24333
405,25244
406,25537
407,31884
408,33334
