Iteration,Elapsed_eBPF_NP
1,50271
2,37312
3,43762
4,42460
5,42314
6,41785
7,137307
8,34881
9,40619
10,39352
11,40713
12,44816
13,40873
14,40818
15,40890
16,40493
17,41301
18,39630
19,40884
20,39776
21,39977
22,40404
23,40345
24,39652
25,39758
26,40232
27,41608
28,40133
29,39992
30,40203
31,39596
32,39998
33,40295
34,41090
35,40316
36,40117
37,40214
38,47949
39,46963
40,45794
41,47813
42,43855
43,36528
44,38205
45,36070
46,39337
47,38234
48,35372
49,33716
50,36656
51,33544
52,33793
53,34300
54,37242
55,35905
56,33846
57,35322
58,35821
59,34763
60,33806
61,36480
62,34713
63,35393
64,37670
65,34978
66,39265
67,39232
68,38545
69,40299
70,34449
71,34888
72,37820
73,36869
74,36737
75,36212
76,36766
77,34238
78,31269
79,43150
80,40328
81,40895
82,38033
83,37533
84,40959
85,39795
86,36024
87,35796
88,34813
89,34459
90,85446
91,36593
92,34978
93,34383
94,33471
95,33307
96,33741
97,33754
98,34080
99,35146
100,34952
101,33250
102,33164
103,33847
104,32838
105,33296
106,32906
107,32554
108,32947
109,33272
110,32965
111,32381
112,32324
113,32408
114,33086
115,32021
116,32409
117,32847
118,32874
119,32555
120,32480
121,32707
122,32816
123,34676
124,34598
125,33631
126,32331
127,35083
128,33793
129,34478
130,33936
131,34698
132,34916
133,36277
134,33835
135,32749
136,32763
137,32886
138,33851
139,33788
140,33186
141,34334
142,32654
143,32803
144,33200
145,33096
146,33742
147,33296
148,32222
149,33654
150,33255
151,33342
152,32828
153,33489
154,34314
155,33820
156,33678
157,34450
158,34464
159,33325
160,34242
161,34257
162,34135
163,33220
164,34757
165,32641
166,32958
167,32773
168,32924
169,32643
170,33546
171,34127
172,35021
173,34668
174,34163
175,34193
176,33418
177,32666
178,33069
179,33088
180,32729
181,32631
182,32391
183,32815
184,32639
185,32681
186,32006
187,32945
188,33433
189,33777
190,33570
191,33625
192,33593
193,33561
194,33911
195,31999
196,33446
197,33171
198,32481
199,33167
200,33800
201,33489
202,33175
203,33756
204,32877
205,35323
206,34912
207,34109
208,33502
209,33916
210,33329
211,33783
212,34415
213,33678
214,34220
215,35134
216,37238
217,33256
218,33720
219,34036
220,34762
221,34810
222,33831
223,34943
224,34821
225,35231
226,33823
227,35350
228,33107
229,33458
230,33044
231,33609
232,33551
233,34176
234,33535
235,34189
236,33261
237,33257
238,33264
239,33610
240,32504
241,33297
242,33533
243,34098
244,34706
245,35121
246,34874
247,35306
248,33267
249,33586
250,32987
251,33353
252,33557
253,33229
254,32298
255,33243
256,33365
257,34342
258,33865
259,33357
260,34339
261,34328
262,34286
263,34703
264,35011
265,31890
266,32921
267,78429
268,36514
269,33248
270,31923
271,32197
272,32309
273,31846
274,31816
275,33669
276,32128
277,32598
278,32427
279,32400
280,32574
281,33478
282,35019
283,32822
284,29478
285,38431
286,40939
287,39335
288,38701
289,38307
290,38060
291,38669
292,38767
293,38049
294,38016
295,37682
296,39115
297,39062
298,39278
299,39857
300,39054
301,39027
302,39317
303,38682
304,38452
305,39237
306,44847
307,36272
308,39197
309,36040
310,38821
311,45371
312,49102
313,35002
314,31531
315,33845
316,34123
317,31624
318,31373
319,31039
320,30605
321,30674
322,31250
323,30686
324,30954
325,31211
326,30608
327,31196
328,31543
329,31435
330,33469
331,34279
332,33628
333,33197
334,34696
335,39099
336,30210
337,29268
338,40321
339,29918
340,28235
341,28457
342,33989
343,29015
344,28536
345,28566
346,28725
347,27964
348,28752
349,28213
350,27707
351,27403
352,27742
353,27515
354,27347
355,27616
356,27688
357,27127
358,28119
359,28007
360,33152
361,28499
362,27551
363,27629
364,28309
365,27393
366,27439
367,27185
368,27118
369,27144
370,26989
371,27607
372,27284
373,27259
374,27939
375,27198
376,27623
377,27447
378,27524
379,27349
380,27131
381,26819
382,27316
383,28635
384,27535
385,27192
386,27765
387,27182
388,27760
389,27712
390,27687
391,27942
392,27665
393,27579
394,27414
395,28043
396,27902
397,27611
398,27628
399,27054
400,27532
401,27650
402,30973
403,28545
404,28348
405,31152
406,28982
407,28498
408,28632
409,28447
410,28265
411,27789
412,27875
413,27652
414,27900
415,27794
416,27539
417,27401
418,27520
419,27821
420,27949
421,32395
422,39782
423,30073
424,28386
425,27934
426,29161
427,38849
428,35401
429,39064
430,37941
431,36221
432,33931
433,37332
434,37469
435,37473
436,33941
437,36136
438,36975
439,38883
440,33461
441,36717
442,37376
443,38568
444,33660
445,37525
446,37377
447,39153
448,33984
449,38121
450,37443
451,37935
452,33954
453,35320
454,38738
455,37967
456,38306
457,33862
458,37717
459,38091
460,38974
461,34583
462,38864
463,37876
464,35118
465,36097
466,37676
467,39095
468,33983
469,37439
470,38954
471,34376
472,37005
473,37236
474,38104
475,33830
476,37083
477,36828
478,38568
479,33033
480,35561
481,36965
482,47448
483,34389
484,38763
485,37719
486,37030
487,35174
488,37294
489,37255
490,34732
491,35558
492,37094
493,38506
494,34550
495,36131
496,37149
497,37580
498,37066
499,35089
500,38296
501,37419
502,36677
503,34391
504,38123
505,37105
506,37015
507,33749
508,38469
509,37486
510,35564
511,35844
512,41994
513,43524
514,40728
515,39636
516,37315
517,32689
518,34917
519,36857
520,38305
521,39714
522,39500
523,41002
524,42111
525,44818
526,41291
527,40520
528,40741
529,148357
530,41239
531,40789
532,42389
533,39543
534,40390
535,40142
536,38811
537,39696
538,63332
539,40524
540,40432
541,39908
542,38519
543,36179
544,33271
545,35326
546,34756
547,35279
548,33143
549,34837
550,35407
551,34767
552,34397
553,33436
554,35703
555,34496
556,35256
557,34858
558,33150
559,33072
560,33853
561,32138
562,33222
563,34723
564,35144
565,34552
566,42920
567,35581
568,32753
569,36390
570,45390
571,44691
572,44783
573,47019
574,39976
575,52559
576,35495
577,29781
578,29382
579,28931
580,28688
581,33896
582,31822
583,31233
584,29032
585,29127
586,30759
587,31133
588,33212
589,32963
590,31412
591,30068
592,29383
593,31174
594,30802
595,32174
596,33032
597,30382
598,28257
599,34227
600,39488
601,38723
602,34192
603,32751
604,34595
605,36085
606,38744
607,38793
608,35543
609,31573
610,34191
611,36876
612,38210
613,38713
614,34604
615,31485
616,34018
617,36837
618,37994
619,38329
620,34109
621,32113
622,32008
623,34343
624,36221
625,38483
626,34605
627,36375
628,35794
629,34834
630,36635
631,38398
632,35040
633,36831
634,43798
635,40065
636,34871
637,32816
638,34803
639,37046
640,38388
641,36143
642,37741
643,35029
644,36798
645,37075
646,38357
647,35461
648,37352
649,38595
650,37039
651,39955
652,39792
653,39951
654,40155
655,39375
656,39291
657,39207
658,46548
659,36379
660,40938
661,45821
662,34463
663,35866
664,38729
665,38745
666,37866
667,38964
668,36648
669,36022
670,38405
671,34961
672,37079
673,35647
674,38225
675,34038
676,34645
677,37199
678,38584
679,37658
680,34612
681,36250
682,38353
683,34057
684,35714
685,38310
686,34625
687,35745
688,37801
689,34380
690,35848
691,37400
692,32459
693,34422
694,35890
695,38521
696,31977
697,37668
698,38878
699,37766
700,37090
701,32627
702,33510
703,34545
704,36724
705,38112
706,34798
707,33822
708,34258
709,37173
710,34730
711,34006
712,35621
713,37035
714,37833
715,34288
716,33972
717,35626
718,37076
719,38312
720,36142
721,38547
722,34753
723,36812
724,36013
725,30722
726,30632
727,31791
728,30954
729,30729
730,30489
731,33368
732,30502
733,29895
734,31674
735,30319
736,30900
737,29903
738,30947
739,30149
740,29860
741,32141
742,30130
743,34229
744,31241
745,29722
746,32483
747,29630
748,33498
749,29991
750,30223
751,30429
752,30488
753,41881
754,38166
755,40077
756,30589
757,29715
758,28485
759,28426
760,28060
761,30492
762,28183
763,38323
764,41245
765,34058
766,36406
767,40198
768,38860
769,40046
770,40574
771,32459
772,30439
773,31773
774,31484
775,33542
776,32630
777,31414
778,30657
779,29447
780,29318
781,31326
782,32572
783,30608
784,29932
785,29051
786,31088
787,31976
788,33160
789,31932
790,29540
791,28988
792,31176
793,32528
794,41749
795,32142
796,32980
797,31765
798,32973
799,33328
800,33366
801,33173
802,33294
803,33014
804,32840
805,33045
806,33782
807,32892
808,32756
809,32559
810,32710
811,33485
812,34144
813,33839
814,33190
815,32896
816,33670
817,33573
818,33736
819,33331
820,33357
821,33521
822,34044
823,33395
824,34240
825,33084
826,33258
827,33159
828,33416
829,35178
830,33371
831,37084
832,37407
833,38865
834,35237
835,35381
836,45147
837,40452
838,37952
839,40837
840,45523
841,41705
842,36152
843,34810
844,34513
845,34233
846,33321
847,33365
848,39403
849,37873
850,34877
851,37750
852,38470
853,37802
854,32871
855,35713
856,37356
857,35018
858,42751
859,39460
860,37889
861,34656
862,35831
863,38934
864,35498
865,37543
866,35063
867,36185
868,38049
869,35832
870,37232
871,39015
872,36732
873,39271
874,35878
875,38356
876,35262
877,37655
878,38707
879,36855
880,38398
881,36118
882,38108
883,34219
884,36455
885,39159
886,36941
887,41268
888,38049
889,36042
890,38033
891,38396
892,33520
893,33945
894,35585
895,37253
896,38912
897,35493
898,38344
899,35622
900,38200
901,35453
902,37066
903,38345
904,36419
905,38731
906,34597
907,36767
908,38604
909,35864
910,36721
911,38423
912,39037
913,35746
914,37165
915,38756
916,36811
917,38648
918,35211
919,37757
920,34563
921,36130
922,37582
923,37874
924,34720
925,37054
926,39116
927,44197
928,38549
929,35121
930,44006
931,33296
932,35323
933,37799
934,34855
935,37182
936,38405
937,35867
938,37373
939,39601
940,37229
941,39049
942,36492
943,38526
944,35120
945,36723
946,38464
947,35388
948,36294
949,38828
950,30812
951,28500
952,27898
953,28813
954,28265
955,32510
956,37713
957,31984
958,34197
959,36666
960,38778
961,38140
962,32251
963,34095
964,35638
965,37355
966,38828
967,37452
968,39276
969,37854
970,38925
971,37284
972,34330
973,36076
974,38790
975,35194
976,36328
977,38643
978,34916
979,36975
980,38179
981,37956
982,34497
983,36425
984,38325
985,35464
986,37202
987,38554
988,40014
989,35354
990,36936
991,39187
992,35909
993,38080
994,34728
995,37107
996,38406
997,36304
998,37416
999,34673
1000,31999
1001,34162
1002,35294
1003,37740
1004,35633
1005,37016
1006,38837
1007,39003
1008,36011
1009,37388
1010,38151
1011,35271
1012,37231
1013,35336
1014,37022
1015,39275
1016,39559
1017,38317
1018,34998
1019,38953
1020,38329
1021,36880
1022,41261
1023,37598
1024,35674
1025,33741
1026,33563
1027,36202
1028,35007
1029,33600
1030,35261
1031,33694
1032,39188
1033,39575
1034,40412
1035,40081
1036,39552
1037,39594
1038,39579
1039,38997
1040,40904
1041,43031
1042,40521
1043,39712
1044,39172
1045,39426
1046,39232
1047,39978
1048,40423
1049,42785
1050,42757
1051,43021
1052,41032
1053,40752
1054,43115
1055,47039
1056,45247
1057,42786
1058,46926
1059,34738
1060,37252
1061,36563
1062,34221
1063,34205
1064,36628
1065,37868
1066,36211
1067,36327
1068,35814
1069,33792
1070,35629
1071,34962
1072,33320
1073,36867
1074,41926
1075,36092
1076,34655
1077,37192
1078,34740
1079,34522
1080,36530
1081,34290
1082,36708
1083,39483
1084,38553
1085,40860
1086,33712
1087,39250
1088,40723
1089,39250
1090,42481
1091,42084
1092,40317
1093,40098
1094,40449
1095,45242
1096,33116
1097,29490
1098,28753
1099,28624
1100,28035
1101,27586
1102,27301
1103,28050
1104,27391
1105,30808
1106,28746
1107,28452
1108,27833
1109,27874
1110,27983
1111,27787
1112,27802
1113,27473
1114,27563
1115,27619
1116,27227
1117,27397
1118,27361
1119,27636
1120,27631
1121,27355
1122,27466
1123,27484
1124,27345
1125,27106
1126,27358
1127,27598
1128,27356
1129,26952
1130,27782
1131,27398
1132,27485
1133,27758
1134,28007
1135,27291
1136,27218
1137,27118
1138,27511
1139,27214
1140,27046
1141,27140
1142,27608
1143,27665
1144,27210
1145,27533
1146,28326
1147,29079
1148,27639
1149,28191
1150,27896
1151,27326
1152,27171
1153,27709
1154,27088
1155,27247
1156,26944
1157,27624
1158,27127
1159,27681
1160,27285
1161,27603
1162,27364
1163,26960
1164,27226
1165,27996
1166,27526
1167,26989
1168,27428
1169,27396
1170,27816
1171,27303
1172,27220
1173,27211
1174,27030
1175,27025
1176,27132
1177,27138
1178,27148
1179,26914
1180,27395
1181,27425
1182,26803
1183,27173
1184,27222
1185,27158
1186,26822
1187,26755
1188,26940
1189,27466
1190,29532
1191,28194
1192,27983
1193,27821
1194,27516
1195,27583
1196,27358
1197,27073
1198,27925
1199,27807
1200,26818
1201,26917
1202,27302
1203,27518
1204,27508
1205,27151
1206,27300
1207,27636
1208,27721
1209,42812
1210,29067
1211,27908
1212,41144
1213,36068
1214,29989
1215,28273
1216,28059
1217,28231
1218,28229
1219,28224
1220,27401
1221,28200
1222,27778
1223,27468
1224,27812
1225,27913
1226,27744
1227,27212
1228,26924
1229,27944
1230,31243
1231,27787
1232,27412
1233,28045
1234,27898
1235,27654
1236,41939
1237,34637
1238,38631
1239,40463
1240,33691
1241,36751
1242,39962
1243,35773
1244,33186
1245,36964
1246,39728
1247,38395
1248,34170
1249,38220
1250,40595
1251,37097
1252,42513
1253,40280
1254,32619
1255,34438
1256,36417
1257,35359
1258,35820
1259,36606
1260,37192
1261,36609
1262,48552
1263,29800
1264,30339
1265,29798
1266,30389
1267,30523
1268,31415
1269,31055
1270,31323
1271,32539
1272,31330
1273,31706
1274,30574
1275,30758
1276,30865
1277,32069
1278,30631
1279,31574
1280,31233
1281,31023
1282,30312
1283,31515
1284,30910
1285,31080
1286,31254
1287,32045
1288,30977
1289,30290
1290,30292
1291,31368
1292,31229
1293,32094
1294,31057
1295,30857
1296,54838
1297,37592
1298,37163
1299,37111
1300,35260
1301,32823
1302,29725
1303,30317
1304,30589
1305,31277
1306,31845
1307,31426
1308,31010
1309,30450
1310,30346
1311,30584
1312,30435
1313,30860
1314,32011
1315,31275
1316,34859
1317,37295
1318,37610
1319,34359
1320,35044
1321,37072
1322,37184
1323,36083
1324,35090
1325,37335
