Iteration,Elapsed_eBPF_NP
1,39938
2,32263
3,50585
4,39362
5,52070
6,38403
7,28249
8,28032
9,28461
10,31856
11,31811
12,30990
13,36029
14,32934
15,31391
16,30226
17,30591
18,28276
19,29575
20,29740
21,29014
22,28271
23,28991
24,28179
25,28746
26,29001
27,30106
28,28644
29,29381
30,28446
31,29104
32,29220
33,29108
34,27254
35,29300
36,29129
37,29255
38,29621
39,29273
40,29609
41,31634
42,29781
43,29977
44,29160
45,30007
46,28879
47,29794
48,28709
49,29300
50,28650
51,29172
52,29347
53,29647
54,29581
55,29932
56,29345
57,27934
58,29743
59,29666
60,29045
61,29958
62,29307
63,28701
64,29380
65,30710
66,28931
67,29329
68,28941
69,29301
70,28702
71,29622
72,29531
73,29362
74,27932
75,30282
76,29556
77,30348
78,29160
79,29026
80,29523
81,29649
82,28016
83,29847
84,29485
85,30071
86,29849
87,29806
88,29531
89,29799
90,28238
91,28843
92,27351
93,28091
94,28410
95,28223
96,27896
97,28217
98,27819
99,27884
100,27424
101,28863
102,28228
103,28687
104,27306
105,28665
106,28432
107,28108
108,28458
109,29385
110,28620
111,28908
112,29238
113,28766
114,27771
115,27523
116,28584
117,28740
118,28103
119,27884
120,28270
121,28327
122,28408
123,28586
124,28727
125,28618
126,27808
127,29769
128,33816
129,28751
130,27993
131,27996
132,27694
133,27645
134,27672
135,26962
136,26717
137,26790
138,26822
139,27508
140,27279
141,27719
142,27077
143,27062
144,27253
145,27119
146,26470
147,26313
148,26419
149,26955
150,26928
151,26800
152,26711
153,27163
154,26735
155,26849
156,26871
157,26405
158,26469
159,26510
160,26579
161,26241
162,26957
163,26703
164,26678
165,26638
166,26720
167,28622
168,26907
169,26997
170,26721
171,26800
172,27201
173,26898
174,26677
175,27046
176,26573
177,26888
178,26364
179,26538
180,26405
181,26671
182,25868
183,26972
184,26483
185,26298
186,26760
187,26979
188,26534
189,26557
190,26987
191,26327
192,25997
193,26379
194,26452
195,26313
196,26163
197,26803
198,26408
199,26659
200,26461
201,27218
202,27212
203,26965
204,27085
205,27229
206,27168
207,26629
208,27016
209,36102
210,28179
211,31004
212,28395
213,28288
214,28086
215,28223
216,27595
217,27876
218,27349
219,27364
220,26903
221,26826
222,26179
223,26737
224,26751
225,26714
226,26866
227,27013
228,26829
229,26518
230,26996
231,26997
232,26634
233,26658
234,26827
235,26864
236,26631
237,26946
238,26651
239,26545
240,26667
241,26276
242,26298
243,26498
244,27197
245,27155
246,26582
247,27555
248,28336
249,28354
250,27525
251,27520
252,27152
253,27656
254,27343
255,27463
256,27231
257,27624
258,27494
259,27448
260,27657
261,26794
262,38296
263,28631
264,27903
265,27700
266,27358
267,26757
268,27089
269,27055
270,27103
271,26767
272,26502
273,26983
274,27396
275,27698
276,26264
277,27095
278,27147
279,26309
280,26795
281,27329
282,26701
283,26711
284,26537
285,26432
286,26311
287,25792
288,25784
289,25446
290,25972
291,25351
292,26421
293,26496
294,25510
295,25824
296,26240
297,26188
298,27275
299,26864
300,26367
301,26039
302,27198
303,26879
304,26544
305,26733
306,25869
307,27518
308,26638
309,26252
310,29874
311,29964
312,29263
313,29223
314,28252
315,35877
316,25708
317,25960
318,25554
319,26197
320,25946
321,26430
322,26112
323,26114
324,45320
325,26159
326,25362
327,25462
328,25171
329,26589
330,26843
331,26546
332,25924
333,26522
334,35026
335,25302
336,26026
337,27255
338,26940
339,26516
340,26821
341,36604
342,26219
343,25648
344,26799
345,26467
346,26066
347,26086
348,25553
349,27058
350,26571
351,27009
352,27108
353,26597
354,27316
355,27702
356,26735
357,27616
358,27946
359,27295
360,32747
361,27616
362,26159
363,26919
364,25900
365,26704
366,26730
367,27256
368,27207
369,27665
370,27440
371,27012
372,27805
373,27195
374,36653
375,36579
376,36734
377,26670
378,36592
379,36984
380,36722
381,26969
382,27150
383,27486
384,27484
385,26719
386,27754
387,28721
388,27085
389,26286
390,30084
391,29056
392,27776
393,26666
394,27346
395,27187
396,26397
397,28580
398,27248
399,26163
400,27327
401,28125
402,27087
