Iteration,Elapsed_eBPF_NP
1,45696
2,30889
3,28853
4,26288
5,25090
6,24577
7,24237
8,24379
9,24227
10,23942
11,24035
12,24372
13,27746
14,24209
15,24135
16,24116
17,23955
18,23395
19,23385
20,37931
21,41158
22,27088
23,26108
24,35809
25,36401
26,38151
27,26879
28,25190
29,25401
30,24592
31,24152
32,23723
33,29916
34,24765
35,24351
36,24088
37,24085
38,24110
39,24707
40,24817
41,25285
42,23987
43,23585
44,23855
45,23745
46,23637
47,23739
48,23415
49,23394
50,23919
51,39643
52,25718
53,24539
54,24956
55,44189
56,24735
57,25139
58,25996
59,24829
60,24559
61,24054
62,23149
63,24382
64,24358
65,23606
66,23525
67,24227
68,24486
69,23937
70,23649
71,23794
72,23847
73,23406
74,23422
75,24209
76,23223
77,81884
78,25672
79,25209
80,24139
81,23951
82,23786
83,24631
84,24347
85,23966
86,24128
87,24118
88,24205
89,23555
90,23760
91,23643
92,23468
93,23491
94,23897
95,24000
96,23589
97,24516
98,24190
99,30160
100,25154
101,24697
102,23967
103,23886
104,23963
105,23627
106,35103
107,25017
108,24314
109,41137
110,29757
111,25913
112,24488
113,24530
114,24317
115,25195
116,24473
117,24703
118,24384
119,24407
120,24154
121,24068
122,23981
123,23572
124,23511
125,23721
126,23546
127,24192
128,34631
129,29144
130,25308
131,26423
132,44355
133,30976
134,25669
135,25019
136,24233
137,23877
138,24105
139,25105
140,24809
141,24343
142,23691
143,24509
144,24145
145,23558
146,24281
147,23869
148,23585
149,23774
150,24104
151,24074
152,26373
153,24865
154,24253
155,24213
156,23527
157,23480
158,23931
159,25233
160,23930
161,23570
162,23265
163,23708
164,23496
165,23608
166,23390
167,23598
168,23546
169,24055
170,23666
171,23954
172,24720
173,24106
174,23955
175,24199
176,23426
177,28806
178,24903
179,24561
180,24634
181,24382
182,23503
183,23956
184,23877
185,23897
186,23900
187,23450
188,23520
189,23186
190,23302
191,25037
192,23608
193,23398
194,23556
195,23820
196,23517
197,23731
198,23455
199,23905
200,23887
201,24308
202,24754
203,24467
204,24122
205,24178
206,23994
207,23618
208,33546
209,24006
210,25830
211,28046
212,25403
213,24525
214,24878
215,24579
216,24130
217,24471
218,24436
219,24215
220,23769
221,23806
222,23453
223,23884
224,23638
225,23834
226,23247
227,23498
228,24792
229,24365
230,23588
231,24379
232,23932
233,24081
234,23502
235,23590
236,23781
237,23429
238,23253
239,27180
240,24626
241,24252
242,23671
243,24309
244,23963
245,24452
246,24098
247,24476
248,25389
249,24706
250,23911
251,24363
252,23840
253,33470
254,23329
255,34908
256,23592
257,23768
258,23363
259,23869
260,23886
261,23765
262,23997
263,23887
264,23456
265,25226
266,24690
267,24653
268,24062
269,24197
270,23688
271,24104
272,23501
273,23346
274,24468
275,23731
276,24040
277,24060
278,24119
279,24167
280,23657
281,24310
282,23541
283,23542
284,23394
285,23607
286,23213
287,25536
288,24135
289,23667
290,23496
291,23615
292,23164
293,23709
294,23282
295,23051
296,23449
297,23356
298,23352
299,23561
300,23041
301,23331
302,23564
303,23158
304,24318
305,23405
306,23465
307,24647
308,23887
309,24136
310,23813
311,23429
312,23491
313,23799
314,23637
315,24621
316,23721
317,23406
318,23482
319,23043
320,23575
321,23367
322,23298
323,24027
324,23763
325,23730
326,41759
327,25041
