Iteration,Elapsed_Inotify_NP
1,43141
2,38064
3,33079
4,30709
5,31025
6,28669
7,28460
8,27010
9,27387
10,33539
11,46441
12,36600
13,42064
14,35560
15,29887
16,28185
17,29250
18,27274
19,28602
20,26647
21,26484
22,25773
23,26723
24,25572
25,25425
26,25606
27,25708
28,25822
29,25840
30,25126
31,26363
32,26435
33,25193
34,26042
35,26086
36,27325
37,26170
38,26040
39,25337
40,25372
41,26243
42,25120
43,25686
44,25240
45,25045
46,25582
47,25217
48,24772
49,25189
50,25058
51,24827
52,25088
53,25309
54,27229
55,25103
56,25819
57,23556
58,23366
59,22847
60,22980
61,23049
62,22444
63,22836
64,22934
65,22421
66,22586
67,22069
68,21976
69,22890
70,22804
71,22799
72,22685
73,26124
74,23340
75,23366
76,23789
77,23351
78,23023
79,23273
80,22924
81,23307
82,22696
83,23144
84,23092
85,22495
86,23214
87,22644
88,22724
89,23095
90,22713
91,22678
92,25368
93,23509
94,22756
95,23121
96,22610
97,22664
98,23234
99,22876
100,22571
101,23836
102,22873
103,22803
104,22970
105,23421
106,22575
107,23028
108,22697
109,23222
110,22906
111,24663
112,22920
113,23202
114,23029
115,22527
116,23204
117,23950
118,23032
119,23004
120,23145
121,22791
122,22652
123,22640
124,22892
125,22381
126,22572
127,22972
128,22606
129,22207
130,23021
131,24037
132,22494
133,22888
134,22694
135,22307
136,22374
137,22874
138,22563
139,22775
140,22461
141,23873
142,22946
143,22754
144,22501
145,22892
146,22515
147,22704
148,22822
149,22613
150,25089
151,22934
152,23044
153,23356
154,22926
155,22316
156,22980
157,23190
158,23055
159,22876
160,23173
161,22636
162,23457
163,22650
164,22834
165,22884
166,22334
167,23053
168,22759
169,25118
170,23320
171,23270
172,23044
173,23449
174,22829
175,22550
176,23004
177,23848
178,22843
179,22710
180,22430
181,22197
182,22893
183,22610
184,22160
185,22630
186,22748
187,22360
188,22435
189,24136
190,22867
191,23359
192,22957
193,23174
194,22870
195,22304
196,22925
197,23227
198,22229
199,22615
200,22633
201,24075
202,23057
203,23100
204,22914
205,23440
206,22314
207,22954
208,25164
209,23703
210,23637
211,27676
212,24364
213,23798
214,23403
215,22913
216,22939
217,22943
218,22725
219,23765
220,23116
221,23803
222,23225
223,22996
224,22753
225,22736
226,49772
227,23382
228,22979
229,22434
230,22628
231,22945
232,22442
233,22970
234,22916
235,22763
236,23050
237,22654
238,22611
239,22985
240,22183
241,22928
242,23189
243,22433
244,22365
245,23376
246,24208
247,23349
248,23141
249,22772
250,22992
251,22934
252,22395
253,27030
254,24034
255,23977
256,26001
257,23564
258,23069
259,23459
260,22837
261,23045
262,22538
263,23999
264,22685
265,25509
266,23919
267,22865
268,23583
269,22661
270,23033
271,22784
272,22618
273,22606
274,22220
275,22812
276,44509
277,26705
278,26742
279,24085
280,23114
281,23688
282,23111
283,24987
284,23892
285,23492
286,22657
287,23405
288,23310
289,22960
290,22980
291,23011
292,22635
293,22716
294,22594
295,22382
296,22642
