Iteration,Elapsed_Inotify_P
1,43973
2,35015
3,32736
4,29978
5,30138
6,30068
7,29410
8,28866
9,29913
10,28734
11,30504
12,34778
13,29777
14,28993
15,28644
16,28325
17,28873
18,28311
19,28282
20,28217
21,29275
22,28536
23,32633
24,49718
25,68660
26,77449
27,32431
28,38500
29,29516
30,40655
31,34425
32,43966
33,32684
34,32719
35,32956
36,32792
37,43090
38,35516
39,49725
40,57937
41,47476
42,38208
43,27690
44,28748
45,27620
46,28366
47,28348
48,27580
49,26983
50,27354
51,37919
52,27800
53,28583
54,29997
55,27847
56,27348
57,27709
58,27546
59,27674
60,27311
61,27274
62,27625
63,27342
64,27573
65,28044
66,27613
67,26864
68,27078
69,27408
70,27665
71,28363
72,27635
73,27393
74,27580
75,27096
76,27373
77,27888
78,27597
79,27016
80,27612
81,27569
82,28359
83,26952
84,27334
85,27335
86,26952
87,27696
88,38753
89,28552
90,27724
91,27067
92,30729
93,29056
94,28253
95,27927
96,28544
97,27043
98,28070
99,28131
100,27717
101,27242
102,37223
103,27045
104,27494
105,29012
106,28541
107,27512
108,26947
109,27202
110,27479
111,27967
112,27268
113,27263
114,27052
115,26795
116,27199
117,27391
118,36894
119,26646
120,26802
121,27012
122,28802
123,27339
124,27383
125,27351
126,27421
127,27855
128,27664
129,27607
130,27422
131,27015
132,27318
133,27123
134,26649
135,29530
136,28165
137,27505
138,27237
139,29013
140,27974
141,27494
142,26992
143,27180
144,26707
145,26975
146,27113
147,28375
148,28059
149,27847
150,26943
151,27574
152,27430
153,26958
154,27042
155,27409
156,28298
157,27779
158,27533
159,26717
160,26745
161,26946
162,27903
163,28642
164,27083
165,27168
166,27592
167,26999
168,26861
169,26702
170,27573
171,27787
172,27428
173,29543
174,27385
175,26597
176,26719
177,29158
178,36899
179,36549
180,36570
181,36772
182,36877
183,36608
184,27828
185,27642
186,27211
187,27153
188,36814
189,37235
190,27319
191,27002
192,27359
193,26776
194,26752
195,26627
196,26697
197,26926
198,36674
199,26779
200,27128
201,37540
202,27020
203,37378
204,36865
205,37542
206,27946
207,38058
208,37662
209,37687
210,37452
211,41064
212,38753
213,38248
214,37405
215,38294
216,29521
217,28532
218,38057
219,50185
220,36811
221,36898
222,33659
223,37185
224,36891
225,36955
226,36814
227,37298
228,27499
229,28562
230,27936
231,27902
232,27496
233,27494
234,27580
235,27207
236,46554
237,36830
238,36823
