Time,AT_CPU_USAGE,AT_MEMORY_USAGE
0.0,0.8,10.2
0.5,0.0,10.2
1.0,1.0,10.2
1.5,0.5,10.2
2.0,0.5,10.2
2.5,0.3,10.2
3.0,0.5,10.2
3.5,0.3,10.2
4.0,0.5,10.2
4.5,0.5,10.2
5.0,0.3,10.2
5.5,0.3,10.2
6.0,0.5,10.2
6.5,0.5,10.2
7.0,0.3,10.2
7.5,0.3,10.2
8.0,0.7,10.2
8.5,0.2,10.2
9.0,0.3,10.2
9.5,0.3,10.2
10.0,0.5,10.2
10.5,0.3,10.2
11.0,0.0,10.2
11.5,0.7,10.2
12.0,0.0,10.2
12.5,0.5,10.2
13.0,0.3,10.2
13.5,0.5,10.2
14.0,0.5,10.2
14.5,0.3,10.2
15.0,0.5,10.2
15.5,0.5,10.2
16.0,0.5,10.2
16.5,0.5,10.2
17.0,0.0,10.2
17.5,0.3,10.2
18.0,0.5,10.2
18.5,0.7,10.2
19.0,0.5,10.2
19.5,0.3,10.2
20.0,0.5,10.2
20.5,0.5,10.2
21.0,0.5,10.2
21.5,0.3,10.2
22.0,0.3,10.2
22.5,0.5,10.2
23.0,0.5,10.2
23.5,0.3,10.2
24.0,0.3,10.2
24.5,0.5,10.2
25.0,0.3,10.2
25.5,0.5,10.2
26.0,0.7,10.2
26.5,0.3,10.2
27.0,0.7,10.2
27.5,0.0,10.2
28.0,0.5,10.2
28.5,0.5,10.2
29.0,0.3,10.2
29.5,0.7,10.2
30.0,1.0,10.2
30.5,0.3,10.2
31.0,0.5,10.2
31.5,0.3,10.2
32.0,0.3,10.2
32.5,1.0,10.2
33.0,0.5,10.2
33.5,0.3,10.2
34.0,0.3,10.2
34.5,0.3,10.2
35.0,0.5,10.2
35.5,0.3,10.2
36.0,0.8,10.2
36.5,0.7,10.2
37.0,0.3,10.2
37.5,0.7,10.2
38.0,0.3,10.2
38.5,0.7,10.2
39.0,0.3,10.2
39.5,0.7,10.2
40.0,0.5,10.2
40.5,0.5,10.2
41.0,0.7,10.2
41.5,0.3,10.2
42.0,0.0,10.2
42.5,0.5,10.2
43.0,1.3,10.2
43.5,0.7,10.2
44.0,0.0,10.2
44.5,0.3,10.2
45.0,0.5,10.2
45.5,0.5,10.2
46.0,0.5,10.2
46.5,0.3,10.2
47.0,0.8,10.2
47.5,0.5,10.2
48.0,0.5,10.2
48.5,0.5,10.2
49.0,0.3,10.2
49.5,0.5,10.2
50.0,0.7,10.2
50.5,0.3,10.2
51.0,0.7,10.2
51.5,0.5,10.2
52.0,0.8,10.2
52.5,0.0,10.2
53.0,0.3,10.2
53.5,0.5,10.2
54.0,0.3,10.2
54.5,0.3,10.2
55.0,0.5,10.2
55.5,0.2,10.2
56.0,0.5,10.2
56.5,0.0,10.2
57.0,0.3,10.2
57.5,0.5,10.2
58.0,0.3,10.2
58.5,0.3,10.2
59.0,0.3,10.2
59.5,0.5,10.2
60.0,0.5,10.2
60.5,0.3,10.2
61.0,0.5,10.2
61.5,0.3,10.2
62.0,1.0,10.2
62.5,0.7,10.2
63.0,0.5,10.2
63.5,0.0,10.2
64.0,1.0,10.2
64.5,0.3,10.2
65.0,0.8,10.2
65.5,0.5,10.2
66.0,0.3,10.2
66.5,0.5,10.2
67.0,0.5,10.2
67.5,0.7,10.2
68.0,0.3,10.2
68.5,0.0,10.2
69.0,0.3,10.2
69.5,0.3,10.2
70.0,0.2,10.2
70.5,0.7,10.2
71.0,0.3,10.2
71.5,0.3,10.2
72.0,0.3,10.2
72.5,0.3,10.2
73.0,0.7,10.2
73.5,1.0,10.2
74.0,0.3,10.2
74.5,0.5,10.2
75.0,2.5,10.3
75.5,14.8,10.2
76.0,0.5,10.2
76.5,0.3,10.2
77.0,0.3,10.2
77.5,0.3,10.2
78.0,0.3,10.2
78.5,0.3,10.2
79.0,1.0,10.2
79.5,0.5,10.2
80.0,0.3,10.2
80.5,0.7,10.2
81.0,0.3,10.2
81.5,0.5,10.2
82.0,0.0,10.2
82.5,0.7,10.2
83.0,0.3,10.2
83.5,0.5,10.2
84.0,0.5,10.2
84.5,0.7,10.2
85.0,0.3,10.2
85.5,0.7,10.2
86.0,0.5,10.2
86.5,0.3,10.2
87.0,0.3,10.2
87.5,0.3,10.2
88.0,0.5,10.2
88.5,0.5,10.2
89.0,0.3,10.2
89.5,0.5,10.2
90.0,0.3,10.2
90.5,0.7,10.2
91.0,0.7,10.2
