Time,AT_CPU_USAGE,AT_MEMORY_USAGE
0.0,13.0,14.4
0.5,18.0,14.4
1.0,15.4,14.5
1.5,14.1,14.5
2.0,13.6,14.5
2.5,12.5,14.5
3.0,12.6,14.5
3.5,13.0,14.5
4.0,13.4,14.5
4.5,12.6,14.5
5.0,12.5,14.5
5.5,12.6,14.5
6.0,13.4,14.5
6.5,13.0,14.5
7.0,13.4,14.5
7.5,12.5,14.5
8.0,12.9,14.5
8.5,12.9,14.5
9.0,13.4,14.5
9.5,12.6,14.5
10.0,12.1,14.5
10.5,12.9,14.5
11.0,12.5,14.5
11.5,13.0,14.5
12.0,13.0,14.5
12.5,12.6,14.5
13.0,12.6,14.5
13.5,12.5,14.5
14.0,12.5,14.5
14.5,12.9,14.5
15.0,12.9,14.5
15.5,13.5,14.5
16.0,12.6,14.6
16.5,13.0,14.6
17.0,12.5,14.6
17.5,13.0,14.6
18.0,13.0,14.6
18.5,13.4,14.6
19.0,12.6,14.6
19.5,12.5,14.5
20.0,12.6,14.6
20.5,13.0,14.6
21.0,13.1,14.6
21.5,12.5,14.6
22.0,12.1,14.6
22.5,12.9,14.6
23.0,12.9,14.6
23.5,12.9,14.6
24.0,13.0,14.6
24.5,12.5,14.6
25.0,24.5,14.5
25.5,14.4,14.6
26.0,13.0,14.6
26.5,12.5,14.6
27.0,12.6,14.6
27.5,12.6,14.6
28.0,14.0,14.6
28.5,13.0,14.6
29.0,13.1,14.6
29.5,12.6,14.6
30.0,12.6,14.6
30.5,13.9,14.6
31.0,13.0,14.6
31.5,12.1,14.6
32.0,13.4,14.6
32.5,12.9,14.6
33.0,12.6,14.6
33.5,12.6,14.6
34.0,12.1,14.6
34.5,12.6,14.6
35.0,12.6,14.6
35.5,12.5,14.6
36.0,12.5,14.6
36.5,12.6,14.6
37.0,13.0,14.5
37.5,13.4,14.5
38.0,12.5,14.5
38.5,12.1,14.5
39.0,13.0,14.5
39.5,13.0,14.5
40.0,13.0,14.5
40.5,13.4,14.5
41.0,12.6,14.6
41.5,12.9,14.6
42.0,13.4,14.6
42.5,13.0,14.6
43.0,12.1,14.6
43.5,12.9,14.5
44.0,13.1,14.5
44.5,12.6,14.5
45.0,12.6,14.5
45.5,12.9,14.5
46.0,12.1,14.5
46.5,12.6,14.5
47.0,12.9,14.5
47.5,12.6,14.5
48.0,13.0,14.5
48.5,12.6,14.5
49.0,12.5,14.5
49.5,13.0,14.5
50.0,13.0,14.5
50.5,12.5,14.5
51.0,12.1,14.5
51.5,12.6,14.5
52.0,13.4,14.5
52.5,12.6,14.5
53.0,13.0,14.5
53.5,12.9,14.5
54.0,13.0,14.5
54.5,18.0,14.6
55.0,13.0,14.5
55.5,12.1,14.5
56.0,13.0,14.5
56.5,12.6,14.5
57.0,12.5,14.5
57.5,12.9,14.5
58.0,12.1,14.4
58.5,13.0,14.5
59.0,13.0,14.5
59.5,12.9,14.5
60.0,14.4,14.5
60.5,12.6,14.5
61.0,12.5,14.5
61.5,13.0,14.5
62.0,12.5,14.5
62.5,12.9,14.5
63.0,13.0,14.5
63.5,12.6,14.5
64.0,12.6,14.5
64.5,13.0,14.5
65.0,12.6,14.5
65.5,12.5,14.5
66.0,13.4,14.5
66.5,12.9,14.5
67.0,12.9,14.5
67.5,12.6,14.5
68.0,12.5,14.6
68.5,12.1,14.6
69.0,12.9,14.6
69.5,12.9,14.6
70.0,13.0,14.5
70.5,12.1,14.5
71.0,12.9,14.5
71.5,13.4,14.5
72.0,12.4,14.5
72.5,12.5,14.5
73.0,12.9,14.5
73.5,13.0,14.5
74.0,13.0,14.5
74.5,12.6,14.5
75.0,12.6,14.5
75.5,12.5,14.5
76.0,12.5,14.5
76.5,12.9,14.5
77.0,12.6,14.5
77.5,25.2,14.5
78.0,12.5,14.5
78.5,12.5,14.5
79.0,12.6,14.5
79.5,12.9,14.5
80.0,12.6,14.5
80.5,13.0,14.5
81.0,13.4,14.5
81.5,12.5,14.5
82.0,12.6,14.5
82.5,12.5,14.5
83.0,13.0,14.5
83.5,12.6,14.5
84.0,12.9,14.5
84.5,12.5,14.5
85.0,12.6,14.5
85.5,12.1,14.5
86.0,13.4,14.5
86.5,13.0,14.5
87.0,12.6,14.5
87.5,12.9,14.5
88.0,12.6,14.5
88.5,13.4,14.5
89.0,13.0,14.5
89.5,13.0,14.5
90.0,12.6,14.6
90.5,12.1,14.6
91.0,12.9,14.6
91.5,12.5,14.6
92.0,12.5,14.6
92.5,13.0,14.6
93.0,12.1,14.6
93.5,12.9,14.6
94.0,12.5,14.6
94.5,13.0,14.6
95.0,12.1,14.6
95.5,13.0,14.6
96.0,13.0,14.6
96.5,13.4,14.6
97.0,13.4,14.6
97.5,12.6,14.6
98.0,12.1,14.6
98.5,13.0,14.6
99.0,12.6,14.6
99.5,13.0,14.6
100.0,12.5,14.6
100.5,12.6,14.6
101.0,12.9,14.5
101.5,13.0,14.6
102.0,12.1,14.5
102.5,12.5,14.5
103.0,12.1,14.5
103.5,13.0,14.5
104.0,13.1,14.5
104.5,12.6,14.5
105.0,12.6,14.5
105.5,12.1,14.5
106.0,13.4,14.5
106.5,13.0,14.5
107.0,13.5,14.5
107.5,12.1,14.5
108.0,12.5,14.5
108.5,12.6,14.5
109.0,12.6,14.5
109.5,12.5,14.5
110.0,12.5,14.5
110.5,12.5,14.5
111.0,12.6,14.5
111.5,12.6,14.5
112.0,12.5,14.5
112.5,12.6,14.5
113.0,12.5,14.5
113.5,13.0,14.5
114.0,12.6,14.5
114.5,12.5,14.5
115.0,12.5,14.5
115.5,13.0,14.5
116.0,12.9,14.5
116.5,12.6,14.5
117.0,12.9,14.5
117.5,12.5,14.5
118.0,13.0,14.5
118.5,12.9,14.5
119.0,13.1,14.5
119.5,12.9,14.5
120.0,12.6,14.5
120.5,12.5,14.5
121.0,13.0,14.5
121.5,13.4,14.5
122.0,13.0,14.5
122.5,12.5,14.5
123.0,13.0,14.5
123.5,12.6,14.5
124.0,13.0,14.5
124.5,12.4,14.5
125.0,12.5,14.5
125.5,13.0,14.5
126.0,12.1,14.5
126.5,12.9,14.6
127.0,13.4,14.6
127.5,13.4,14.6
128.0,12.5,14.6
128.5,12.4,14.6
129.0,12.6,14.6
129.5,12.5,14.6
130.0,12.5,14.6
130.5,12.6,14.6
131.0,12.5,14.6
131.5,13.0,14.6
132.0,12.5,14.6
132.5,13.4,14.6
133.0,12.9,14.6
133.5,24.5,14.5
134.0,13.0,14.5
134.5,12.5,14.5
135.0,12.9,14.5
135.5,12.6,14.5
136.0,13.0,14.5
136.5,12.9,14.5
137.0,12.1,14.5
137.5,12.9,14.5
138.0,12.5,14.5
138.5,13.4,14.5
139.0,13.0,14.5
139.5,13.4,14.5
140.0,12.6,14.5
140.5,12.9,14.5
141.0,13.0,14.5
141.5,12.5,14.5
142.0,12.9,14.5
142.5,12.6,14.5
143.0,12.6,14.5
143.5,12.5,14.5
144.0,12.9,14.5
144.5,12.5,14.5
145.0,12.9,14.5
145.5,13.4,14.5
146.0,13.0,14.5
146.5,12.9,14.5
147.0,12.1,14.5
147.5,12.6,14.5
148.0,13.0,14.5
148.5,12.9,14.5
149.0,13.6,14.5
149.5,12.6,14.5
150.0,13.6,14.5
150.5,12.5,14.4
151.0,12.5,14.4
151.5,12.9,14.4
152.0,13.0,14.4
152.5,12.5,14.4
153.0,12.9,14.4
153.5,12.6,14.5
154.0,12.6,14.5
154.5,12.5,14.5
155.0,13.0,14.5
155.5,13.0,14.5
156.0,12.5,14.5
156.5,12.6,14.5
157.0,12.6,14.5
157.5,14.4,14.5
158.0,13.0,14.5
158.5,13.4,14.5
159.0,12.6,14.5
159.5,12.5,14.5
160.0,12.5,14.5
160.5,13.9,14.5
161.0,12.5,14.5
161.5,12.6,14.5
162.0,12.5,14.5
162.5,12.1,14.5
163.0,12.6,14.5
163.5,12.1,14.5
164.0,12.9,14.5
164.5,14.6,14.5
165.0,12.6,14.5
165.5,13.0,14.5
166.0,13.0,14.5
166.5,12.9,14.5
167.0,12.6,14.5
167.5,12.1,14.5
168.0,12.9,14.5
168.5,12.5,14.4
169.0,12.6,14.4
169.5,12.5,14.4
170.0,13.0,14.4
170.5,13.4,14.4
171.0,13.0,14.4
171.5,13.0,14.4
172.0,13.4,14.4
172.5,13.0,14.4
173.0,12.9,14.4
173.5,12.6,14.4
174.0,12.5,14.4
174.5,13.5,14.5
175.0,13.0,14.5
175.5,12.9,14.5
176.0,12.5,14.5
176.5,12.5,14.5
177.0,12.6,14.5
177.5,13.0,14.5
178.0,13.0,14.5
178.5,12.6,14.4
179.0,12.9,14.4
179.5,13.0,14.4
