Iteration,TimeElapsed(seconds)
1,1701874503.146333933
2,1701874503.149286747
3,1701874503.151785135
4,1701874503.154386759
5,1701874503.156949043
6,1701874503.159365177
7,1701874503.161842585
8,1701874503.164233923
9,1701874503.166795254
10,1701874503.169332743
11,1701874503.171801567
12,1701874503.174242496
13,1701874503.176687717
14,1701874503.179158449
15,1701874503.181585073
16,1701874503.183970451
17,1701874503.186388493
18,1701874503.188804626
19,1701874503.191425562
20,1701874503.193850517
21,1701874503.19624114
22,1701874503.198686361
23,1701874503.201095104
24,1701874503.203522205
25,1701874503.205979347
26,1701874503.208359003
27,1701874503.210788727
28,1701874503.213184357
29,1701874503.215601206
30,1701874503.218066692
31,1701874503.220500708
32,1701874503.22291851
33,1701874503.225350857
34,1701874503.227765322
35,1701874503.230178118
36,1701874503.232615709
37,1701874503.235007048
38,1701874503.237443447
39,1701874503.239850521
40,1701874503.242255449
41,1701874503.244663954
42,1701874503.247068644
43,1701874503.249495029
44,1701874503.25194788
45,1701874503.254360437
46,1701874503.256751776
47,1701874503.259178638
48,1701874503.261710882
49,1701874503.264093637
50,1701874503.266503096
51,1701874503.268933296
52,1701874503.271330118
53,1701874503.273770571
54,1701874503.276198149
55,1701874503.278634548
56,1701874503.281123877
57,1701874503.283526659
58,1701874503.285969496
59,1701874503.288365602
60,1701874503.290800095
61,1701874503.293213606
62,1701874503.295771837
63,1701874503.298214674
64,1701874503.300628424
65,1701874503.303032637
66,1701874503.305438757
67,1701874503.307842731
68,1701874503.310254097
69,1701874503.312648535
70,1701874503.315084219
71,1701874503.317526817
72,1701874503.319959879
73,1701874503.322375536
74,1701874503.324794769
75,1701874503.327251434
76,1701874503.329683781
77,1701874503.332087755
78,1701874503.334503651
79,1701874503.336915255
80,1701874503.339330912
81,1701874503.341759205
82,1701874503.344157457
83,1701874503.346585512
84,1701874503.349003792
85,1701874503.351416349
86,1701874503.353816986
87,1701874503.35622859
88,1701874503.358634233
89,1701874503.361064911
90,1701874503.36345768
91,1701874503.365869999
92,1701874503.36833477
93,1701874503.370769262
94,1701874503.373204947
95,1701874503.375633717
96,1701874503.378044605
97,1701874503.380456924
98,1701874503.382919073
99,1701874503.385347843
100,1701874503.387736082
101,1701874503.39016223
102,1701874503.392596483
103,1701874503.395019531
104,1701874503.397408247
