Iteration,TimeElapsed(seconds)
1,1701874503.146585703
2,1701874503.149484873
3,1701874503.151980877
4,1701874503.154584408
5,1701874503.157060623
6,1701874503.159558773
7,1701874503.161994696
8,1701874503.164437532
9,1701874503.16699791
10,1701874503.169537783
11,1701874503.171999216
12,1701874503.174440384
13,1701874503.176894426
14,1701874503.179356098
15,1701874503.181782246
16,1701874503.184170246
17,1701874503.186587334
18,1701874503.18903017
19,1701874503.191627502
20,1701874503.194045544
21,1701874503.196436405
22,1701874503.198880196
23,1701874503.201231003
24,1701874503.203722715
25,1701874503.206176758
26,1701874503.208554745
27,1701874503.21098423
28,1701874503.213358641
29,1701874503.215800524
30,1701874503.218270302
31,1701874503.220707417
32,1701874503.223073959
33,1701874503.22551775
34,1701874503.227961302
35,1701874503.230370522
36,1701874503.232830286
37,1701874503.235204697
38,1701874503.237641573
39,1701874503.240044117
40,1701874503.242450714
41,1701874503.244863987
42,1701874503.247266054
43,1701874503.2496984
44,1701874503.252143145
45,1701874503.254553318
46,1701874503.256955385
47,1701874503.259370089
48,1701874503.261905432
49,1701874503.264285326
50,1701874503.266695738
51,1701874503.269063234
52,1701874503.271529675
53,1701874503.273965836
54,1701874503.27639842
55,1701874503.278826714
56,1701874503.281253338
57,1701874503.283722162
58,1701874503.286161423
59,1701874503.288560867
60,1701874503.290997982
61,1701874503.29341054
62,1701874503.295968533
63,1701874503.298407316
64,1701874503.300831795
65,1701874503.303224564
66,1701874503.305632591
67,1701874503.30803895
68,1701874503.310446024
69,1701874503.312855005
70,1701874503.315279722
71,1701874503.31771946
72,1701874503.320155382
73,1701874503.322570801
74,1701874503.325008154
75,1701874503.327445745
76,1701874503.3298769
77,1701874503.332283735
78,1701874503.334696054
79,1701874503.337008238
80,1701874503.33953166
81,1701874503.341952085
82,1701874503.344349384
83,1701874503.346776485
84,1701874503.34913516
85,1701874503.351612568
86,1701874503.354013681
87,1701874503.356424809
88,1701874503.358827114
89,1701874503.361191511
90,1701874503.363650084
91,1701874503.366074324
92,1701874503.368541479
93,1701874503.370962381
94,1701874503.373362541
95,1701874503.375832558
96,1701874503.37823844
97,1701874503.380650997
98,1701874503.383111715
99,1701874503.385545731
100,1701874503.387932301
101,1701874503.390358925
102,1701874503.392796755
103,1701874503.395215034
104,1701874503.397606134
105,1701874503.399973631
106,1701874503.402378559
107,1701874503.404955626
108,1701874503.407391071
109,1701874503.409836054
110,1701874503.412216425
111,1701874503.414660454
112,1701874503.417011261
113,1701874503.419495583
114,1701874503.421887159
115,1701874503.424277782
116,1701874503.426683187
117,1701874503.429006577
118,1701874503.431542635
119,1701874503.433962584
120,1701874503.436346769
121,1701874503.438746691
122,1701874503.441068888
123,1701874503.443533421
124,1701874503.445922613
125,1701874503.448324203
126,1701874503.450743437
127,1701874503.453393459
128,1701874503.45578146
129,1701874503.458205938
130,1701874503.460588455
131,1701874503.463019848
132,1701874503.465433359
133,1701874503.467857599
134,1701874503.470262527
135,1701874503.472661972
136,1701874503.475056648
137,1701874503.477468014
138,1701874503.479857922
139,1701874503.482288361
140,1701874503.484695435
141,1701874503.487104416
142,1701874503.489434481
143,1701874503.491882563
144,1701874503.494273901
145,1701874503.496666908
146,1701874503.499068499
147,1701874503.50146389
148,1701874503.503866434
149,1701874503.506294489
150,1701874503.508720636
151,1701874503.511140585
152,1701874503.513547421
153,1701874503.516086817
154,1701874503.518520117
155,1701874503.520951509
156,1701874503.523388386
157,1701874503.525838375
158,1701874503.528258324
159,1701874503.530645132
160,1701874503.532995224
161,1701874503.535616159
162,1701874503.538028955
163,1701874503.540439129
164,1701874503.542873859
165,1701874503.545221329
166,1701874503.547709942
167,1701874503.550142288
168,1701874503.552562475
169,1701874503.55500412
170,1701874503.557428122
171,1701874503.559826374
172,1701874503.562237263
173,1701874503.56464982
174,1701874503.567058086
175,1701874503.569455147
176,1701874503.571887255
177,1701874503.574335337
178,1701874503.576750278
179,1701874503.579141378
180,1701874503.581573009
181,1701874503.58396101
182,1701874503.5863626
183,1701874503.588763714
184,1701874503.591183424
185,1701874503.593589783
186,1701874503.595985174
187,1701874503.598385811
188,1701874503.600784302
189,1701874503.60324049
190,1701874503.605641127
191,1701874503.608027935
192,1701874503.610476732
193,1701874503.612867117
194,1701874503.615237713
195,1701874503.617644072
196,1701874503.620030165
197,1701874503.622472048
198,1701874503.624905825
199,1701874503.62728858
200,1701874503.629752159
201,1701874503.632141829
202,1701874503.634565353
203,1701874503.636960745
204,1701874503.639355898
205,1701874503.641835928
206,1701874503.6442554
207,1701874503.646659613
208,1701874503.648970604
209,1701874503.651455641
210,1701874503.65386343
211,1701874503.656247854
212,1701874503.658685923
213,1701874503.661038399
214,1701874503.663508177
215,1701874503.666015625
216,1701874503.668427467
217,1701874503.670890093
218,1701874503.673348665
219,1701874503.675756454
220,1701874503.678215265
221,1701874503.680616856
222,1701874503.683031559
223,1701874503.6854527
224,1701874503.687897205
225,1701874503.690333843
226,1701874503.692731142
227,1701874503.695137501
228,1701874503.697566032
229,1701874503.699976444
230,1701874503.702396393
231,1701874503.704837799
232,1701874503.707245827
233,1701874503.709667921
234,1701874503.71206069
235,1701874503.7144835
236,1701874503.716907024
237,1701874503.719273329
238,1701874503.721714973
239,1701874503.724141598
240,1701874503.726706982
241,1701874503.729127884
242,1701874503.731634855
243,1701874503.734074593
244,1701874503.736595631
245,1701874503.73909688
246,1701874503.741540194
247,1701874503.743946791
248,1701874503.746362686
249,1701874503.74887991
250,1701874503.751322269
251,1701874503.753786802
252,1701874503.756236553
253,1701874503.758695841
254,1701874503.761096716
255,1701874503.763569355
256,1701874503.766036749
257,1701874503.768490076
258,1701874503.770927191
259,1701874503.773350716
260,1701874503.775749922
261,1701874503.778295279
262,1701874503.780700445
263,1701874503.783135891
264,1701874503.78554678
265,1701874503.787969112
266,1701874503.790393114
267,1701874503.792788267
268,1701874503.795219898
269,1701874503.797642708
270,1701874503.800072193
271,1701874503.802509069
272,1701874503.80492425
273,1701874503.807344675
274,1701874503.809760571
275,1701874503.812142372
276,1701874503.814585447
277,1701874503.816964149
278,1701874503.819428682
279,1701874503.821835756
280,1701874503.824242115
281,1701874503.826662064
282,1701874503.829030991
283,1701874503.83150959
284,1701874503.83391571
285,1701874503.836297035
286,1701874503.838717222
287,1701874503.841106892
288,1701874503.843567371
289,1701874503.845983744
290,1701874503.848382473
291,1701874503.850814819
292,1701874503.853174686
293,1701874503.855643749
294,1701874503.858050823
295,1701874503.860444784
296,1701874503.862911224
297,1701874503.865348816
298,1701874503.867740393
299,1701874503.870172977
300,1701874503.872611284
301,1701874503.875025511
302,1701874503.877437353
303,1701874503.879842997
304,1701874503.882277727
305,1701874503.884697914
306,1701874503.887104988
307,1701874503.889533758
308,1701874503.891942501
309,1701874503.894367218
310,1701874503.89675045
311,1701874503.899164677
312,1701874503.901578903
313,1701874503.903990269
314,1701874503.90638876
315,1701874503.908802509
316,1701874503.911206245
317,1701874503.913619757
318,1701874503.916023731
319,1701874503.918453455
320,1701874503.920872927
321,1701874503.92330122
322,1701874503.925721884
323,1701874503.928148746
324,1701874503.930554628
325,1701874503.932980776
326,1701874503.935416222
327,1701874503.937820911
328,1701874503.940221786
329,1701874503.942678213
330,1701874503.94503355
331,1701874503.947467804
332,1701874503.94997406
333,1701874503.95239377
334,1701874503.954837322
335,1701874503.957187176
336,1701874503.959653854
337,1701874503.962095976
338,1701874503.964497805
339,1701874503.966922283
340,1701874503.969361067
341,1701874503.971891403
342,1701874503.974322796
343,1701874503.97672534
344,1701874503.979151249
345,1701874503.981573105
346,1701874503.983982563
347,1701874503.986405611
348,1701874503.98882246
349,1701874503.991238832
350,1701874503.99373126
351,1701874503.996135712
352,1701874503.998566151
353,1701874504.000952005
354,1701874504.003377199
355,1701874504.005829096
356,1701874504.008249998
357,1701874504.010663509
358,1701874504.013035536
359,1701874504.015513182
360,1701874504.017939806
361,1701874504.020363808
362,1701874504.022798777
363,1701874504.025175571
364,1701874504.027624369
365,1701874504.030048609
366,1701874504.032438278
367,1701874504.034876585
368,1701874504.037233591
369,1701874504.039730072
370,1701874504.042140484
371,1701874504.044551373
372,1701874504.046998024
373,1701874504.049414396
374,1701874504.051822662
375,1701874504.054252386
376,1701874504.056655884
377,1701874504.059072018
378,1701874504.061488867
379,1701874504.063918829
380,1701874504.066354513
381,1701874504.068756819
382,1701874504.071189642
383,1701874504.073635101
384,1701874504.076046228
385,1701874504.07845664
386,1701874504.080894232
387,1701874504.083285093
388,1701874504.085723639
389,1701874504.08809948
390,1701874504.090525627
391,1701874504.092970848
392,1701874504.095388174
393,1701874504.09782052
394,1701874504.100208521
395,1701874504.102612734
396,1701874504.104974747
397,1701874504.107450008
398,1701874504.109891415
399,1701874504.112295389
400,1701874504.114709854
401,1701874504.11706686
402,1701874504.119541168
403,1701874504.121999979
404,1701874504.124413252
405,1701874504.126836538
406,1701874504.129203796
407,1701874504.131665468
408,1701874504.134084702
409,1701874504.136496305
410,1701874504.138911724
411,1701874504.141335726
412,1701874504.143738031
413,1701874504.146207809
414,1701874504.148625374
415,1701874504.151036501
416,1701874504.153455734
417,1701874504.155884266
418,1701874504.158284903
419,1701874504.160678864
420,1701874504.163116455
421,1701874504.165509701
422,1701874504.167912245
423,1701874504.170351982
424,1701874504.172768116
425,1701874504.175169706
426,1701874504.177581549
427,1701874504.180013418
428,1701874504.182447195
429,1701874504.184922934
430,1701874504.187341928
431,1701874504.189770699
432,1701874504.192167282
433,1701874504.194578886
434,1701874504.196968794
435,1701874504.19939971
436,1701874504.201830149
437,1701874504.204224586
438,1701874504.206645966
439,1701874504.208962917
440,1701874504.211444139
441,1701874504.213856936
442,1701874504.216244698
443,1701874504.218664646
444,1701874504.221030235
445,1701874504.223499537
446,1701874504.225969076
447,1701874504.228402376
448,1701874504.23084712
449,1701874504.23319006
450,1701874504.235667706
451,1701874504.23811698
452,1701874504.240501404
453,1701874504.24292016
454,1701874504.245346785
455,1701874504.247737646
456,1701874504.250161886
457,1701874504.252543688
458,1701874504.254988194
459,1701874504.257397175
460,1701874504.259789705
461,1701874504.262245893
462,1701874504.264634609
463,1701874504.26708746
464,1701874504.269555569
465,1701874504.271949291
466,1701874504.274403095
467,1701874504.276828051
468,1701874504.279246092
469,1701874504.281656027
470,1701874504.284070969
471,1701874504.286518335
472,1701874504.288956165
473,1701874504.29136157
474,1701874504.293772221
475,1701874504.296191931
476,1701874504.298609734
477,1701874504.300982237
478,1701874504.30343771
479,1701874504.305855751
480,1701874504.308266163
481,1701874504.31069088
482,1701874504.313081503
483,1701874504.315521002
484,1701874504.317964792
485,1701874504.320353508
486,1701874504.322772741
487,1701874504.325125456
488,1701874504.327573776
489,1701874504.329993248
490,1701874504.332402229
491,1701874504.334822416
492,1701874504.337261915
493,1701874504.339673519
494,1701874504.342140436
495,1701874504.344539404
496,1701874504.346970081
497,1701874504.349393368
498,1701874504.351798296
499,1701874504.354249477
500,1701874504.356702089
501,1701874504.35911727
502,1701874504.361537218
503,1701874504.363926172
504,1701874504.366405725
505,1701874504.368714333
506,1701874504.371206045
507,1701874504.373651505
508,1701874504.3760674
509,1701874504.378506422
510,1701874504.380928516
511,1701874504.383359194
512,1701874504.385778427
513,1701874504.388188601
514,1701874504.390614271
515,1701874504.39303112
516,1701874504.395504713
517,1701874504.397911072
518,1701874504.400321484
519,1701874504.402742624
520,1701874504.405104876
521,1701874504.407574892
522,1701874504.409998655
523,1701874504.412420273
524,1701874504.414853573
525,1701874504.417253017
526,1701874504.41968441
527,1701874504.42210269
528,1701874504.424530745
529,1701874504.426947594
530,1701874504.429372072
531,1701874504.431786537
532,1701874504.434268951
533,1701874504.436677933
534,1701874504.439071178
535,1701874504.441503763
536,1701874504.443907738
537,1701874504.446334839
538,1701874504.448770046
539,1701874504.451200485
540,1701874504.453619957
541,1701874504.456156254
542,1701874504.458580971
543,1701874504.460964918
544,1701874504.463407278
545,1701874504.465858698
546,1701874504.468247414
547,1701874504.470707893
548,1701874504.473086357
549,1701874504.475544691
550,1701874504.477967262
551,1701874504.480380058
552,1701874504.482806444
553,1701874504.485169172
554,1701874504.48765111
555,1701874504.490055084
556,1701874504.492446184
557,1701874504.494937658
558,1701874504.497366428
559,1701874504.499776602
560,1701874504.502208471
561,1701874504.504645109
562,1701874504.507032871
563,1701874504.50946784
564,1701874504.511878967
565,1701874504.514283657
566,1701874504.516679287
567,1701874504.519072294
568,1701874504.521514654
569,1701874504.523919344
570,1701874504.5263381
571,1701874504.528795481
572,1701874504.531243801
573,1701874504.533654451
574,1701874504.536088943
575,1701874504.538528919
576,1701874504.540934801
577,1701874504.543330908
578,1701874504.545758963
579,1701874504.548154354
580,1701874504.550570488
581,1701874504.552945852
582,1701874504.555383921
583,1701874504.557801247
584,1701874504.560221434
585,1701874504.562634706
586,1701874504.565009356
587,1701874504.567505598
588,1701874504.569932222
589,1701874504.57233119
590,1701874504.574762583
591,1701874504.577098846
592,1701874504.579561949
593,1701874504.581994772
594,1701874504.584397554
595,1701874504.586795568
596,1701874504.589143515
597,1701874504.591616869
598,1701874504.59406805
599,1701874504.596462965
600,1701874504.598887682
601,1701874504.601261854
602,1701874504.60370779
603,1701874504.606154919
604,1701874504.608601332
605,1701874504.611027956
606,1701874504.613444567
607,1701874504.615861177
608,1701874504.618315697
609,1701874504.620731831
610,1701874504.623120785
611,1701874504.625566721
612,1701874504.628029108
613,1701874504.630455256
614,1701874504.632861853
615,1701874504.63525486
616,1701874504.637659788
617,1701874504.640084505
618,1701874504.642533779
619,1701874504.644951582
620,1701874504.647354841
621,1701874504.649749279
622,1701874504.652142763
623,1701874504.654556751
624,1701874504.656962633
625,1701874504.659468651
626,1701874504.661886215
627,1701874504.664296389
628,1701874504.666742086
629,1701874504.66910243
630,1701874504.671579123
631,1701874504.674128294
632,1701874504.676500559
633,1701874504.67891407
634,1701874504.681335449
635,1701874504.683837175
636,1701874504.686261177
637,1701874504.688847303
638,1701874504.691256523
639,1701874504.693676233
640,1701874504.696125031
641,1701874504.698540211
642,1701874504.700971127
643,1701874504.703382969
644,1701874504.705799818
645,1701874504.708193302
646,1701874504.710644007
647,1701874504.713077784
648,1701874504.715482712
649,1701874504.717874765
650,1701874504.720344543
651,1701874504.722769976
652,1701874504.725146532
653,1701874504.727634192
654,1701874504.730036259
655,1701874504.732450724
656,1701874504.73485899
657,1701874504.737235308
658,1701874504.739702463
659,1701874504.742133141
660,1701874504.7445333
661,1701874504.746960878
662,1701874504.74943018
663,1701874504.751845121
664,1701874504.75426507
665,1701874504.756662846
666,1701874504.759074926
667,1701874504.761491299
668,1701874504.763884544
669,1701874504.7663064
670,1701874504.768749475
671,1701874504.771184444
672,1701874504.773605108
673,1701874504.776020288
674,1701874504.778420687
675,1701874504.780832529
676,1701874504.783241749
677,1701874504.785657167
678,1701874504.788104773
679,1701874504.790531874
680,1701874504.792969704
681,1701874504.7953825
682,1701874504.797780752
683,1701874504.800188065
684,1701874504.802638769
685,1701874504.804979563
686,1701874504.807482004
687,1701874504.809918404
688,1701874504.812308788
689,1701874504.814743519
690,1701874504.817135096
691,1701874504.819598436
692,1701874504.821997881
693,1701874504.824533224
694,1701874504.82695508
695,1701874504.829396248
696,1701874504.8317976
697,1701874504.834253073
698,1701874504.836663723
699,1701874504.839071989
700,1701874504.841509104
701,1701874504.843893766
702,1701874504.846321821
703,1701874504.848742485
704,1701874504.851149559
705,1701874504.853561878
706,1701874504.85595274
707,1701874504.858386755
708,1701874504.860806942
709,1701874504.863220692
710,1701874504.865667105
711,1701874504.868073702
712,1701874504.870497465
713,1701874504.872923136
714,1701874504.875342131
715,1701874504.877761364
716,1701874504.880177259
717,1701874504.882638693
718,1701874504.884961605
719,1701874504.887461662
720,1701874504.889869213
721,1701874504.892272949
722,1701874504.894705057
723,1701874504.897050858
724,1701874504.899501562
725,1701874504.901912212
726,1701874504.90433526
727,1701874504.906799793
728,1701874504.909153461
729,1701874504.911619902
730,1701874504.914037704
731,1701874504.916426182
732,1701874504.918884754
733,1701874504.921392441
734,1701874504.923808336
735,1701874504.926249981
736,1701874504.928668261
737,1701874504.931077003
738,1701874504.93350482
739,1701874504.935954094
740,1701874504.938470125
741,1701874504.940921783
742,1701874504.943304539
743,1701874504.945701122
744,1701874504.948172808
745,1701874504.950583696
746,1701874504.952965975
747,1701874504.95553565
748,1701874504.957971096
749,1701874504.960461855
750,1701874504.962908506
751,1701874504.965336561
752,1701874504.967751503
753,1701874504.970193148
754,1701874504.972599506
755,1701874504.975004196
756,1701874504.977441788
757,1701874504.97986412
758,1701874504.98231554
759,1701874504.984726667
760,1701874504.98715663
761,1701874504.989578962
762,1701874504.992006302
763,1701874504.994441509
764,1701874504.996852875
765,1701874504.99930644
766,1701874505.001721621
767,1701874505.004141331
768,1701874505.006555557
769,1701874505.00895071
770,1701874505.0113976
771,1701874505.013840675
772,1701874505.016247272
773,1701874505.01873827
774,1701874505.021113157
775,1701874505.023570538
